epoch,beta_kl,lr,adv_active,train_loss,train_recon_loss,train_kl_loss,train_gen_loss,train_disc_loss,train_adaptive_weight,train_full_mae,train_full_rmse,train_psnr,val_loss,val_recon_loss,val_kl_loss,val_full_mae,val_full_rmse,val_psnr,val_diagnostic_gen_adv,val_diagnostic_disc_real,val_diagnostic_disc_fake
1,5e-06,0.0001,0,0.1775670080453157,0.1775148126691579,10.439131801527116,0.0,0.0,0.0,0.2373294711768627,0.4950183294892311,6.5121451847076415,0.1002202630043029,0.1001693259477615,10.187456298828126,0.1610005201697349,0.332031378865242,9.714025722503662,67.0236944885254,-66.43774102783203,-67.0236944885254
2,1e-05,0.0001,0,0.0892083753466606,0.0891072549551725,10.11203422431946,0.0,0.0,0.0,0.1442145458221435,0.3047219078183174,10.400542198944091,0.0769116714000701,0.0768095477819442,10.21237971496582,0.1327676454484462,0.2763979307413101,11.320695594787598,66.93563067626953,-66.43774102783203,-66.93563067626953
3,1.5e-05,0.0001,0,0.0736449844330549,0.0734926017493009,10.158845511245728,0.0,0.0,0.0,0.1207109472692012,0.2572120272874832,11.88948604660034,0.0635479005277156,0.0633902349174022,10.511048294067384,0.1084285241663456,0.2299733403921127,12.927447723388672,65.3475092163086,-66.43774102783203,-65.3475092163086
4,2e-05,0.0001,0,0.0623600335791707,0.0621569496244192,10.154197289657592,0.0,0.0,0.0,0.1016427195727825,0.2199842992782592,13.234679453277588,0.0603464896827936,0.0601391163766384,10.368658111572266,0.0986395523846149,0.2105922847986221,13.689909034729004,67.73251620483398,-66.43774102783203,-67.73251620483398
5,2.5e-05,0.0001,0,0.0581009169191122,0.057849984395504,10.03730066986084,0.0,0.0,0.0,0.0951138997167348,0.207830128121376,13.727339529418945,0.0570012401640415,0.0567582974880933,9.717700355529786,0.0960734082460403,0.2082298032641411,13.7890562210083,65.7420675354004,-66.43774102783203,-65.7420675354004
6,3e-05,0.0001,0,0.0547976350307464,0.054520956018567,9.222634993743895,0.0,0.0,0.0,0.0896963442116975,0.1978249468922615,14.157164685058596,0.0521481407284736,0.051869975566864,9.272176261901857,0.0878468071520328,0.1900336658358574,14.58772873687744,66.34187994384766,-66.43774102783203,-66.34187994384766
7,3.5e-05,0.0001,0,0.0505564108356833,0.0502542728230357,8.632513471984863,0.0,0.0,0.0,0.0845300712436437,0.187011482155323,14.650577214050292,0.0526138131916523,0.0523165561258792,8.493063552856444,0.0862118197977542,0.1879731627702713,14.683205917358398,66.01471151733398,-66.43774102783203,-66.01471151733398
8,4e-05,0.0001,0,0.0492069866225123,0.0488775527030229,8.235849000930786,0.0,0.0,0.0,0.0827828926831483,0.1836097425282001,14.7996916015625,0.0479587815254926,0.0476317478567361,8.175840881347657,0.0826894696354866,0.1801055136322975,15.0602413482666,66.23524285888672,-66.43774102783203,-66.23524285888672
9,4.5e-05,0.0001,0,0.0479789738446474,0.0476272760927677,7.815505067443848,0.0,0.0,0.0,0.0812874391019344,0.1803861392438411,14.97287248764038,0.046844125688076,0.0464926875531673,7.809741008758545,0.0811054902374744,0.1779811819791794,15.1604986038208,66.2611315612793,-66.43774102783203,-66.2611315612793
10,5e-05,0.0001,0,0.0469207464963197,0.0465475519493222,7.4638913635253905,0.0,0.0,0.0,0.0799782708108425,0.1780916031181812,15.07247700653076,0.047440661996603,0.0470759731680154,7.293777713775634,0.0815162613391876,0.1780696686506271,15.149432762145995,66.26597692871094,-66.43774102783203,-66.26597692871094
11,5e-05,0.0001,0,0.0464262519150972,0.0460602338984608,7.320360665512084,0.0,0.0,0.0,0.0791719645500183,0.1765184765279293,15.148594611358645,0.0550304263234138,0.0546638616025447,7.331292728424072,0.0855490915179252,0.1863588104248046,14.75890825653076,66.41572576904296,-66.43774102783203,-66.41572576904296
12,5e-05,0.0001,0,0.0455580320253968,0.0452031744971871,7.09715142364502,0.0,0.0,0.0,0.0782478857725858,0.1747615250408649,15.238464458465575,0.0517097714692354,0.0513661039024591,6.8733493537902834,0.0828761406242847,0.1783629147410392,15.143418884277343,64.96543923950195,-66.43774102783203,-64.96543923950195
13,5e-05,0.0001,0,0.0448975407153367,0.0445459914788603,7.030984610748291,0.0,0.0,0.0,0.0773603813633322,0.1728763982355594,15.335716889190676,0.0453353144079446,0.0449759458303451,7.187371879577637,0.0778992577791214,0.1715343744754791,15.489816337585449,66.65698272705077,-66.43774102783203,-66.65698272705077
14,5e-05,0.0001,0,0.0440360680356621,0.043691294401884,6.895472975158691,0.0,0.0,0.0,0.0764898447036743,0.1714672459304332,15.399593144226074,0.0439972542375326,0.0436582860350608,6.779361881256103,0.0771633326113224,0.17028121894598,15.55169448852539,65.9507575378418,-66.43774102783203,-65.9507575378418
15,5e-05,0.0001,0,0.0433706693738698,0.0430285582587122,6.842222138977051,0.0,0.0,0.0,0.0756967236995697,0.1698720618963241,15.483550846099854,0.0427062626481056,0.0423739508986473,6.646232398986816,0.0762097685188055,0.1683816245794296,15.652433197021484,66.09513726806641,-66.43774102783203,-66.09513726806641
16,5e-05,0.0001,0,0.0427441961705684,0.0424077994614839,6.727934889602661,0.0,0.0,0.0,0.0750050262972712,0.1685062308549881,15.558621878051758,0.0429024649411439,0.0425641704499721,6.7658874206542965,0.0758158684819936,0.1680428035259246,15.67241756439209,65.52573791503906,-66.43774102783203,-65.52573791503906
17,5e-05,0.0001,0,0.0423330694586038,0.0420037949189543,6.585491091537476,0.0,0.0,0.0,0.0743859521895647,0.1673822246491909,15.613033354187012,0.0432278016507625,0.0428981363624334,6.593306705474854,0.0756480377465486,0.1667704215049743,15.736520027160644,66.21951284790039,-66.43774102783203,-66.21951284790039
18,5e-05,0.0001,0,0.0420623152256011,0.0417361239224672,6.523824974822998,0.0,0.0,0.0,0.0739276834875345,0.1664196785926819,15.661222158050537,0.0420830925107002,0.041750398427248,6.653881324768067,0.0750650610774755,0.1660774716138839,15.775275856018066,66.01192459106446,-66.43774102783203,-66.01192459106446
19,5e-05,0.0001,0,0.0415120011180639,0.0411889887034893,6.460248805999756,0.0,0.0,0.0,0.0733830044567585,0.1652636601686477,15.72748132019043,0.0415717090070247,0.0412449484765529,6.535211536407471,0.0740147787183523,0.1646290756464004,15.851800506591797,66.51888027954102,-66.43774102783203,-66.51888027954102
20,5e-05,0.0001,0,0.0415777857750654,0.0412555142000317,6.445432787704468,0.0,0.0,0.0,0.073163163383305,0.1646982034564018,15.76058955230713,0.0400420998334884,0.0397177934199571,6.486127914428711,0.0730536198765039,0.1632675489783287,15.92653749847412,66.37169186401367,-66.43774102783203,-66.37169186401367
21,5e-05,0.0001,0,0.0411390278950333,0.0408168147578835,6.44426337890625,0.0,0.0,0.0,0.0726483116671443,0.1636934199213981,15.811891263580325,0.042012247622013,0.0416941000819206,6.362952228546143,0.074062842875719,0.1641732487678527,15.872490562438966,66.39007043457032,-66.43774102783203,-66.39007043457032
